area_name,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
"Missoula County, MT",3,2,1,"63,147","61,087","2,060",3.3,"56,207",101.7
"Musselshell County, MT",8,7,0,"2,279","2,185",94,4.1,"43,371",78.5
"Park County, MT",7,9,0,"8,836","8,504",332,3.8,"61,044",110.5
"Petroleum County, MT",9,12,0,281,270,11,3.9,"41,009",74.2
"Phillips County, MT",9,12,0,"1,901","1,817",84,4.4,"44,730",81.0
"Pondera County, MT",7,11,0,"2,714","2,607",107,3.9,"42,890",77.6
"Powder River County, MT",9,12,0,967,940,27,2.8,"47,378",85.8
"Powell County, MT",6,6,0,"2,914","2,796",118,4.0,"48,966",88.6
"Prairie County, MT",9,12,0,487,469,18,3.7,"42,754",77.4
"Ravalli County, MT",6,6,0,"19,929","19,110",819,4.1,"50,055",90.6
"Richland County, MT",7,9,0,"5,872","5,698",174,3.0,"67,242",121.7
"Roosevelt County, MT",7,9,0,"4,466","4,267",199,4.5,"40,179",72.7
"Rosebud County, MT",9,12,0,"3,860","3,662",198,5.1,"57,674",104.4
"Sanders County, MT",8,7,0,"4,775","4,476",299,6.3,"39,861",72.1
"Sheridan County, MT",9,12,0,"1,757","1,717",40,2.3,"51,690",93.6
"Silver Bow County, MT",5,8,0,"17,223","16,548",675,3.9,"47,302",85.6
"Stillwater County, MT",8,7,0,"4,938","4,773",165,3.3,"66,226",119.9
"Sweet Grass County, MT",9,12,0,"1,774","1,721",53,3.0,"52,747",95.5
"Teton County, MT",8,7,0,"2,696","2,607",89,3.3,"48,368",87.5
"Toole County, MT",7,11,0,"2,128","2,075",53,2.5,"46,326",83.9
"Treasure County, MT",8,7,0,333,324,9,2.7,"50,774",91.9
"Valley County, MT",7,11,0,"4,119","3,996",123,3.0,"48,390",87.6
"Wheatland County, MT",9,12,0,800,761,39,4.9,"38,449",69.6
"Wibaux County, MT",9,12,0,465,449,16,3.4,"49,532",89.7
"Yellowstone County, MT",3,2,1,"81,536","78,878","2,658",3.3,"59,975",108.6
Nebraska,,,,"1,023,491","993,561","29,930",2.9,"59,724",100.0
"Adams County, NE",4,5,0,"16,564","16,069",495,3.0,"55,167",92.4
"Antelope County, NE",9,10,0,"3,568","3,479",89,2.5,"55,371",92.7
"Arthur County, NE",9,10,0,221,210,11,5.0,"46,862",78.5
"Banner County, NE",9,8,0,379,365,14,3.7,"53,865",90.2
"Blaine County, NE",9,10,0,261,249,12,4.6,"44,467",74.5
"Boone County, NE",9,10,0,"2,911","2,844",67,2.3,"51,911",86.9
"Box Butte County, NE",7,11,0,"5,401","5,245",156,2.9,"57,952",97.0
"Boyd County, NE",9,12,0,"1,076","1,043",33,3.1,"42,431",71.0
"Brown County, NE",9,12,0,"1,389","1,341",48,3.5,"46,191",77.3
"Buffalo County, NE",4,5,0,"27,717","27,041",676,2.4,"59,193",99.1
"Burt County, NE",8,7,0,"3,463","3,343",120,3.5,"57,548",96.4
"Butler County, NE",6,6,0,"4,546","4,436",110,2.4,"57,208",95.8
"Cass County, NE",2,2,1,"13,325","12,911",414,3.1,"75,177",125.9
"Cedar County, NE",9,10,0,"4,470","4,363",107,2.4,"64,570",108.1
"Chase County, NE",9,12,0,"2,275","2,224",51,2.2,"54,866",91.9
"Cherry County, NE",7,11,0,"3,334","3,259",75,2.2,"49,782",83.4
"Cheyenne County, NE",7,11,0,"4,696","4,561",135,2.9,"53,132",89.0
"Clay County, NE",8,7,0,"3,249","3,144",105,3.2,"56,259",94.2
"Colfax County, NE",7,9,0,"5,588","5,449",139,2.5,"55,787",93.4
"Cuming County, NE",7,9,0,"4,689","4,568",121,2.6,"59,219",99.2
"Custer County, NE",7,9,0,"6,418","6,277",141,2.2,"49,995",83.7
"Dakota County, NE",3,2,1,"10,676","10,285",391,3.7,"55,522",93.0
"Dawes County, NE",7,11,0,"5,019","4,882",137,2.7,"47,487",79.5
"Dawson County, NE",7,8,0,"12,934","12,562",372,2.9,"56,818",95.1
"Deuel County, NE",9,12,0,960,931,29,3.0,"47,097",78.9
"Dixon County, NE",3,2,1,"3,011","2,916",95,3.2,"54,635",91.5
"Dodge County, NE",4,5,0,"19,402","18,845",557,2.9,"51,682",86.5
"Douglas County, NE",2,2,1,"294,689","285,210","9,479",3.2,"64,580",108.1
"Dundy County, NE",9,12,0,"1,150","1,124",26,2.3,"48,574",81.3
"Fillmore County, NE",8,7,0,"3,144","3,063",81,2.6,"56,697",94.9
"Franklin County, NE",9,10,0,"1,473","1,427",46,3.1,"48,778",81.7
"Frontier County, NE",9,10,0,"1,514","1,474",40,2.6,"43,650",73.1
"Furnas County, NE",9,12,0,"2,624","2,554",70,2.7,"49,685",83.2
"Gage County, NE",6,5,0,"10,934","10,576",358,3.3,"49,931",83.6
"Garden County, NE",9,12,0,"1,182","1,153",29,2.5,"39,192",65.6
"Garfield County, NE",9,12,0,"1,163","1,134",29,2.5,"46,245",77.4
"Gosper County, NE",9,8,0,"1,058","1,030",28,2.6,"59,722",100.0
"Grant County, NE",9,12,0,419,408,11,2.6,"56,724",95.0
"Greeley County, NE",8,7,0,"1,212","1,179",33,2.7,"45,221",75.7
"Hall County, NE",3,2,1,"31,872","30,827","1,045",3.3,"53,792",90.1
"Hamilton County, NE",3,2,1,"4,744","4,622",122,2.6,"60,608",101.5
"Harlan County, NE",9,10,0,"1,771","1,728",43,2.4,"49,321",82.6
"Hayes County, NE",9,10,0,598,585,13,2.2,"47,047",78.8
"Hitchcock County, NE",9,12,0,"1,255","1,211",44,3.5,"43,880",73.5
"Holt County, NE",7,11,0,"5,742","5,591",151,2.6,"55,965",93.7
"Hooker County, NE",9,12,0,401,386,15,3.7,"46,220",77.4
"Howard County, NE",3,2,1,"3,352","3,247",105,3.1,"52,292",87.6
"Jefferson County, NE",7,9,0,"4,152","4,046",106,2.6,"47,075",78.8
"Johnson County, NE",8,7,0,"2,074","1,998",76,3.7,"52,401",87.7
"Kearney County, NE",7,8,0,"3,755","3,675",80,2.1,"64,456",107.9
"Keith County, NE",7,9,0,"4,546","4,405",141,3.1,"52,086",87.2
"Keya Paha County, NE",9,12,0,593,580,13,2.2,"48,429",81.1
"Kimball County, NE",8,7,0,"2,019","1,963",56,2.8,"46,986",78.7
"Knox County, NE",9,10,0,"4,631","4,484",147,3.2,"47,906",80.2
"Lancaster County, NE",2,2,1,"174,726","170,079","4,647",2.7,"58,618",98.1
"Lincoln County, NE",5,8,0,"18,296","17,729",567,3.1,"56,803",95.1
"Logan County, NE",9,8,0,466,452,14,3.0,"55,531",93.0
"Loup County, NE",9,12,0,398,385,13,3.3,"47,797",80.0
"McPherson County, NE",9,8,0,442,430,12,2.7,"53,207",89.1
"Madison County, NE",5,8,0,"19,463","18,956",507,2.6,"55,226",92.5
"Merrick County, NE",3,2,1,"3,999","3,883",116,2.9,"56,493",94.6
"Morrill County, NE",9,10,0,"2,583","2,511",72,2.8,"49,151",82.3
"Nance County, NE",8,7,0,"2,010","1,960",50,2.5,"47,279",79.2
"Nemaha County, NE",7,11,0,"3,610","3,482",128,3.5,"52,069",87.2
"Nuckolls County, NE",9,12,0,"2,378","2,312",66,2.8,"46,954",78.6
"Otoe County, NE",6,6,0,"8,159","7,918",241,3.0,"60,734",101.7
"Pawnee County, NE",9,10,0,"1,472","1,434",38,2.6,"45,487",76.2
"Perkins County, NE",9,10,0,"1,817","1,781",36,2.0,"57,251",95.9
"Phelps County, NE",7,9,0,"4,885","4,771",114,2.3,"59,003",98.8
"Pierce County, NE",9,8,0,"4,097","3,986",111,2.7,"57,367",96.1
"Platte County, NE",5,8,0,"17,409","16,928",481,2.8,"63,656",106.6
"Polk County, NE",9,10,0,"2,894","2,823",71,2.5,"59,815",100.2
"Red Willow County, NE",7,11,0,"5,831","5,688",143,2.5,"49,034",82.1
"Richardson County, NE",7,11,0,"4,237","4,105",132,3.1,"47,573",79.7
"Rock County, NE",9,12,0,887,865,22,2.5,"48,260",80.8
"Saline County, NE",6,6,0,"7,427","7,196",231,3.1,"54,569",91.4
"Sarpy County, NE",2,2,1,"94,964","92,307","2,657",2.8,"79,358",132.9
"Saunders County, NE",2,2,1,"11,005","10,690",315,2.9,"67,897",113.7
"Scotts Bluff County, NE",5,8,0,"18,394","17,777",617,3.4,"50,247",84.1
"Seward County, NE",2,2,1,"8,797","8,561",236,2.7,"71,024",118.9
"Sheridan County, NE",9,12,0,"2,677","2,607",70,2.6,"43,819",73.4
"Sherman County, NE",8,7,0,"1,693","1,647",46,2.7,"47,499",79.5
"Sioux County, NE",9,8,0,741,721,20,2.7,"50,861",85.2
"Stanton County, NE",9,8,0,"3,480","3,391",89,2.6,"66,228",110.9
"Thayer County, NE",9,12,0,"2,852","2,786",66,2.3,"51,299",85.9
"Thomas County, NE",9,10,0,436,423,13,3.0,"48,275",80.8
"Thurston County, NE",8,7,0,"2,975","2,850",125,4.2,"45,405",76.0
"Valley County, NE",9,12,0,"2,080","2,018",62,3.0,"48,604",81.4
"Washington County, NE",2,2,1,"11,103","10,779",324,2.9,"77,838",130.3
"Wayne County, NE",6,6,0,"5,687","5,543",144,2.5,"55,970",93.7
"Webster County, NE",9,10,0,"1,645","1,597",48,2.9,"45,058",75.4
"Wheeler County, NE",9,12,0,573,559,14,2.4,"53,369",89.4
"York County, NE",6,6,0,"7,301","7,112",189,2.6,"61,478",102.9
Nevada,,,,"1,503,683","1,436,891","66,792",4.4,"58,740",100.0
"Churchill County, NV",6,5,0,"11,021","10,598",423,3.8,"58,429",99.5
"Clark County, NV",1,1,1,"1,101,978","1,050,577","51,401",4.7,"57,155",97.3
"Douglas County, NV",4,3,0,"22,912","21,943",969,4.2,"70,495",120.0
"Elko County, NV",5,8,0,"27,453","26,595",858,3.1,"79,134",134.7
"Esmeralda County, NV",9,10,0,424,403,21,5.0,"50,179",85.4
"Eureka County, NV",9,8,0,"1,094","1,066",28,2.6,"70,036",119.2
"Humboldt County, NV",7,8,0,"8,061","7,791",270,3.3,"72,873",124.1
"Lander County, NV",7,9,0,"3,143","3,032",111,3.5,"79,278",135.0
"Lincoln County, NV",8,4,0,"2,064","1,974",90,4.4,"55,504",94.5
"Lyon County, NV",4,5,0,"22,334","21,138","1,196",5.4,"59,732",101.7
"Mineral County, NV",7,11,0,"1,971","1,869",102,5.2,"44,438",75.7
"Nye County, NV",4,3,0,"16,705","15,764",941,5.6,"47,031",80.1
"Pershing County, NV",9,10,0,"2,579","2,475",104,4.0,"42,522",72.4
"Storey County, NV",2,2,1,"1,991","1,905",86,4.3,"68,236",116.2
"Washoe County, NV",2,2,1,"249,680","240,837","8,843",3.5,"63,636",108.3
"White Pine County, NV",7,11,0,"4,578","4,414",164,3.6,"58,942",100.3
"Carson City, NV",3,2,1,"25,697","24,511","1,186",4.6,"56,382",96.0
New Hampshire,,,,"762,758","743,182","19,576",2.6,"75,322",100.0
"Belknap County, NH",4,3,0,"31,262","30,462",800,2.6,"64,777",86.0
"Carroll County, NH",6,4,0,"23,702","23,092",610,2.6,"59,413",78.9
"Cheshire County, NH",4,5,0,"40,727","39,680","1,047",2.6,"60,251",80.0
"Coos County, NH",7,8,0,"14,587","14,115",472,3.2,"44,259",58.8
"Grafton County, NH",5,8,0,"49,363","48,318","1,045",2.1,"65,163",86.5
"Hillsborough County, NH",2,2,1,"238,088","231,744","6,344",2.7,"78,714",104.5
"Merrimack County, NH",4,3,0,"82,970","81,104","1,866",2.2,"74,351",98.7
"Rockingham County, NH",1,1,1,"185,339","180,155","5,184",2.8,"93,645",124.3
"Strafford County, NH",1,1,1,"73,561","71,853","1,708",2.3,"69,919",92.8
"Sullivan County, NH",7,8,0,"23,159","22,661",498,2.2,"60,034",79.7
New Jersey,,,,"4,432,520","4,250,796","181,724",4.1,"81,777",100.0
"Atlantic County, NJ",2,2,1,"118,818","111,885","6,933",5.8,"60,826",74.4
"Bergen County, NJ",1,1,1,"474,700","458,630","16,070",3.4,"100,181",122.5
"Burlington County, NJ",1,1,1,"227,612","219,125","8,487",3.7,"84,470",103.3
"Camden County, NJ",1,1,1,"250,133","238,635","11,498",4.6,"67,135",82.1
"Cape May County, NJ",3,2,1,"45,497","41,687","3,810",8.4,"62,175",76.0
"Cumberland County, NJ",3,2,1,"64,566","60,438","4,128",6.4,"51,790",63.3
"Essex County, NJ",1,1,1,"365,106","346,431","18,675",5.1,"62,875",76.9
"Gloucester County, NJ",1,1,1,"147,928","141,729","6,199",4.2,"81,315",99.4
"Hudson County, NJ",1,1,1,"356,064","342,400","13,664",3.8,"73,337",89.7
"Hunterdon County, NJ",1,1,1,"63,651","61,614","2,037",3.2,"112,335",137.4
"Mercer County, NJ",2,2,1,"198,876","191,729","7,147",3.6,"79,979",97.8
"Middlesex County, NJ",1,1,1,"432,712","417,089","15,623",3.6,"87,666",107.2
"Monmouth County, NJ",1,1,1,"323,777","312,005","11,772",3.6,"99,223",121.3
"Morris County, NJ",1,1,1,"253,482","245,258","8,224",3.2,"112,396",137.4
"Ocean County, NJ",1,1,1,"271,226","259,747","11,479",4.2,"68,483",83.7
"Passaic County, NJ",1,1,1,"239,176","227,105","12,071",5.0,"71,959",88.0
"Salem County, NJ",1,1,1,"28,756","27,198","1,558",5.4,"64,524",78.9
"Somerset County, NJ",1,1,1,"169,154","163,400","5,754",3.4,"119,731",146.4
"Sussex County, NJ",1,1,1,"73,026","70,178","2,848",3.9,"92,284",112.8
"Union County, NJ",1,1,1,"273,348","261,705","11,643",4.3,"80,737",98.7
"Warren County, NJ",2,2,1,"54,912","52,807","2,105",3.8,"77,571",94.9
New Mexico,,,,"938,245","892,331","45,914",4.9,"47,405",100.0
"Bernalillo County, NM",2,2,1,"328,200","313,554","14,646",4.5,"51,372",108.4
"Catron County, NM",9,10,0,"1,113","1,043",70,6.3,"34,777",73.4
"Chaves County, NM",5,8,0,"27,056","25,756","1,300",4.8,"43,527",91.8
"Cibola County, NM",6,5,0,"8,897","8,348",549,6.2,"38,097",80.4
"Colfax County, NM",7,11,0,"5,481","5,216",265,4.8,"41,592",87.7
"Curry County, NM",5,8,0,"21,532","20,677",855,4.0,"47,202",99.6
"De Baca County, NM",9,12,0,763,729,34,4.5,"35,087",74.0
"Dona Ana County, NM",3,2,1,"96,182","90,766","5,416",5.6,"38,409",81.0
"Eddy County, NM",5,8,0,"31,457","30,421","1,036",3.3,"58,320",123.0
"Grant County, NM",7,8,0,"12,254","11,668",586,4.8,"38,341",80.9
"Guadalupe County, NM",7,9,0,"1,616","1,528",88,5.4,"29,515",62.3
"Harding County, NM",9,12,0,277,263,14,5.1,"37,544",79.2
"Hidalgo County, NM",9,9,0,"2,203","2,121",82,3.7,"39,882",84.1
"Lea County, NM",5,8,0,"29,889","28,664","1,225",4.1,"51,656",109.0
"Lincoln County, NM",7,9,0,"8,687","8,296",391,4.5,"45,095",95.1
"Los Alamos County, NM",6,5,0,"9,076","8,770",306,3.4,"124,947",263.6
"Luna County, NM",6,5,0,"10,104","8,919","1,185",11.7,"30,570",64.5
"McKinley County, NM",5,8,0,"23,738","22,071","1,667",7.0,"33,976",71.7
"Mora County, NM",9,10,0,"2,269","2,132",137,6.0,"34,491",72.8
"Otero County, NM",4,5,0,"24,600","23,403","1,197",4.9,"42,701",90.1
"Quay County, NM",7,11,0,"3,201","3,049",152,4.7,"33,085",69.8
"Rio Arriba County, NM",4,5,0,"16,562","15,709",853,5.2,"41,511",87.6
"Roosevelt County, NM",7,8,0,"7,798","7,464",334,4.3,"41,700",88.0
"Sandoval County, NM",2,2,1,"65,383","62,184","3,199",4.9,"57,036",120.3
"San Juan County, NM",3,2,1,"52,077","49,105","2,972",5.7,"46,578",98.3
"San Miguel County, NM",6,5,0,"10,879","10,241",638,5.9,"35,292",74.4
"Santa Fe County, NM",3,2,1,"73,904","70,875","3,029",4.1,"60,187",127.0
"Sierra County, NM",6,6,0,"4,078","3,796",282,6.9,"31,741",67.0
"Socorro County, NM",6,6,0,"6,423","6,088",335,5.2,"33,989",71.7
"Taos County, NM",7,8,0,"14,951","13,988",963,6.4,"38,405",81.0
"Torrance County, NM",2,2,1,"5,591","5,169",422,7.5,"39,123",82.5
"Union County, NM",9,11,0,"1,776","1,718",58,3.3,"40,426",85.3
"Valencia County, NM",2,2,1,"30,232","28,604","1,628",5.4,"46,365",97.8
New York,,,,"9,521,869","9,127,699","394,170",4.1,"67,648",100.0
"Albany County, NY",2,2,1,"157,520","151,688","5,832",3.7,"64,536",95.4
"Allegany County, NY",7,9,0,"19,481","18,390","1,091",5.6,"46,262",68.4
"Bronx County, NY",1,1,1,"599,929","565,365","34,564",5.8,"38,566",57.0
"Broome County, NY",2,2,1,"84,140","80,039","4,101",4.9,"50,928",75.3
"Cattaraugus County, NY",4,3,0,"34,042","32,225","1,817",5.3,"48,017",71.0
"Cayuga County, NY",4,5,0,"35,977","34,370","1,607",4.5,"52,945",78.3
"Chautauqua County, NY",4,3,0,"54,779","52,019","2,760",5.0,"45,689",67.5
"Chemung County, NY",3,2,1,"35,353","33,718","1,635",4.6,"52,565",77.7
"Chenango County, NY",6,6,0,"22,327","21,285","1,042",4.7,"50,312",74.4
"Clinton County, NY",5,8,0,"36,267","34,677","1,590",4.4,"55,517",82.1
"Columbia County, NY",6,3,0,"31,255","30,215","1,040",3.3,"64,916",96.0
"Cortland County, NY",4,5,0,"22,856","21,690","1,166",5.1,"51,751",76.5
"Delaware County, NY",6,6,0,"19,078","18,153",925,4.8,"47,382",70.0
"Dutchess County, NY",1,1,1,"143,632","138,335","5,297",3.7,"79,604",117.7
"Erie County, NY",1,1,1,"442,142","422,609","19,533",4.4,"56,375",83.3
"Essex County, NY",6,6,0,"17,048","16,222",826,4.8,"54,376",80.4
"Franklin County, NY",7,8,0,"19,600","18,591","1,009",5.1,"48,722",72.0
"Fulton County, NY",4,5,0,"22,812","21,647","1,165",5.1,"51,388",76.0
"Genesee County, NY",4,3,0,"29,731","28,491","1,240",4.2,"58,925",87.1
"Greene County, NY",6,6,0,"20,616","19,675",941,4.6,"54,514",80.6
"Hamilton County, NY",8,7,0,"2,289","2,132",157,6.9,"59,020",87.2
"Herkimer County, NY",2,2,1,"27,796","26,427","1,369",4.9,"53,168",78.6
"Jefferson County, NY",3,2,1,"44,493","42,010","2,483",5.6,"52,798",78.0
"Kings County, NY",1,1,1,"1,201,389","1,149,779","51,610",4.3,"60,862",90.0
"Lewis County, NY",6,6,0,"11,623","10,976",647,5.6,"52,660",77.8
"Livingston County, NY",1,1,1,"30,690","29,363","1,327",4.3,"61,027",90.2
"Madison County, NY",2,2,1,"32,660","31,097","1,563",4.8,"59,114",87.4
"Monroe County, NY",1,1,1,"361,972","346,548","15,424",4.3,"60,240",89.0
"Montgomery County, NY",4,5,0,"22,426","21,268","1,158",5.2,"43,799",64.7
"Nassau County, NY",1,1,1,"706,551","681,686","24,865",3.5,"115,301",170.4
"New York County, NY",1,1,1,"914,163","880,074","34,089",3.7,"84,610",125.1
"Niagara County, NY",1,1,1,"99,042","93,855","5,187",5.2,"55,013",81.3
"Oneida County, NY",2,2,1,"100,914","96,422","4,492",4.5,"54,096",80.0
"Onondaga County, NY",2,2,1,"219,814","211,006","8,808",4.0,"59,786",88.4
"Ontario County, NY",1,1,1,"55,381","53,202","2,179",3.9,"62,930",93.0
"Orange County, NY",1,1,1,"183,560","176,409","7,151",3.9,"75,048",110.9
"Orleans County, NY",1,1,1,"17,534","16,666",868,5.0,"52,658",77.8
"Oswego County, NY",2,2,1,"52,741","49,855","2,886",5.5,"53,745",79.4
"Otsego County, NY",7,8,0,"28,037","26,815","1,222",4.4,"54,321",80.3
"Putnam County, NY",1,1,1,"51,073","49,190","1,883",3.7,"100,887",149.1
"Queens County, NY",1,1,1,"1,141,830","1,100,018","41,812",3.7,"68,432",101.2
"Rensselaer County, NY",2,2,1,"81,191","78,026","3,165",3.9,"71,084",105.1
"Richmond County, NY",1,1,1,"222,771","213,493","9,278",4.2,"79,719",117.8
"Rockland County, NY",1,1,1,"154,449","148,705","5,744",3.7,"88,960",131.5
"St. Lawrence County, NY",4,5,0,"43,382","40,950","2,432",5.6,"49,356",73.0
"Saratoga County, NY",2,2,1,"119,110","114,911","4,199",3.5,"83,210",123.0
"Schenectady County, NY",2,2,1,"76,165","73,107","3,058",4.0,"63,297",93.6
"Schoharie County, NY",2,2,1,"14,624","13,917",707,4.8,"57,757",85.4
"Schuyler County, NY",6,7,0,"8,226","7,804",422,5.1,"50,190",74.2
"Seneca County, NY",6,3,0,"16,092","15,471",621,3.9,"54,184",80.1
"Steuben County, NY",4,3,0,"42,613","40,507","2,106",4.9,"54,862",81.1
"Suffolk County, NY",1,1,1,"776,558","746,685","29,873",3.8,"100,075",147.9
"Sullivan County, NY",4,4,0,"35,927","34,454","1,473",4.1,"51,985",76.8
"Tioga County, NY",2,2,1,"22,868","21,869",999,4.4,"60,309",89.2
"Tompkins County, NY",3,2,1,"50,016","48,205","1,811",3.6,"57,383",84.8
"Ulster County, NY",3,2,1,"88,268","84,817","3,451",3.9,"63,073",93.2
"Warren County, NY",3,2,1,"31,528","30,059","1,469",4.7,"56,694",83.8
"Washington County, NY",3,2,1,"27,938","26,774","1,164",4.2,"55,913",82.7
"Wayne County, NY",1,1,1,"43,774","41,958","1,816",4.1,"61,118",90.3
"Westchester County, NY",1,1,1,"482,058","463,315","18,743",3.9,"94,521",139.7
"Wyoming County, NY",6,4,0,"17,969","17,135",834,4.6,"57,709",85.3
"Yates County, NY",1,1,1,"11,784","11,339",445,3.8,"51,089",75.5
North Carolina,,,,"4,986,138","4,787,719","198,419",4.0,"53,922",100.0
"Alamance County, NC",3,2,1,"80,858","77,779","3,079",3.8,"50,480",93.6
"Alexander County, NC",2,2,1,"17,946","17,370",576,3.2,"49,138",91.1
"Alleghany County, NC",9,10,0,"4,314","4,117",197,4.6,"39,735",73.7
"Anson County, NC",6,4,0,"10,418","9,950",468,4.5,"38,023",70.5
"Ashe County, NC",7,10,0,"12,701","12,239",462,3.6,"41,864",77.6
"Avery County, NC",8,7,0,"7,598","7,318",280,3.7,"41,701",77.3
"Beaufort County, NC",6,5,0,"19,681","18,768",913,4.6,"46,411",86.1
"Bertie County, NC",7,11,0,"7,837","7,447",390,5.0,"35,433",65.7
"Bladen County, NC",6,6,0,"14,379","13,613",766,5.3,"36,976",68.6
"Brunswick County, NC",2,2,1,"53,185","50,347","2,838",5.3,"60,163",111.6
"Buncombe County, NC",2,2,1,"138,995","134,810","4,185",3.0,"53,960",100.1
"Burke County, NC",2,2,1,"40,838","39,348","1,490",3.6,"44,946",83.4
"Cabarrus County, NC",1,1,1,"107,083","103,182","3,901",3.6,"69,297",128.5
"Caldwell County, NC",2,2,1,"36,395","34,981","1,414",3.9,"43,328",80.4
"Camden County, NC",8,3,0,"4,706","4,529",177,3.8,"65,955",122.3
"Carteret County, NC",4,5,0,"31,892","30,498","1,394",4.4,"55,052",102.1
"Caswell County, NC",8,7,0,"9,828","9,392",436,4.4,"45,517",84.4
"Catawba County, NC",2,2,1,"78,670","75,869","2,801",3.6,"53,738",99.7
"Chatham County, NC",2,2,1,"35,108","33,913","1,195",3.4,"73,703",136.7
"Cherokee County, NC",9,12,0,"11,268","10,762",506,4.5,"41,262",76.5
"Chowan County, NC",6,4,0,"5,584","5,334",250,4.5,"42,618",79.0
"Clay County, NC",9,12,0,"4,124","3,943",181,4.4,"42,878",79.5
"Cleveland County, NC",4,3,0,"47,897","45,986","1,911",4.0,"42,728",79.2
"Columbus County, NC",6,6,0,"22,371","21,245","1,126",5.0,"36,862",68.4
"Craven County, NC",3,2,1,"41,529","39,757","1,772",4.3,"50,748",94.1
"Cumberland County, NC",2,2,1,"127,620","120,964","6,656",5.2,"46,779",86.8
"Currituck County, NC",1,1,1,"13,997","13,493",504,3.6,"64,426",119.5
"Dare County, NC",4,3,0,"19,965","18,934","1,031",5.2,"64,768",120.1
"Davidson County, NC",2,2,1,"80,401","77,434","2,967",3.7,"47,758",88.6
"Davie County, NC",2,2,1,"20,541","19,829",712,3.5,"60,801",112.8
"Duplin County, NC",6,6,0,"25,041","23,955","1,086",4.3,"42,725",79.2
"Durham County, NC",2,2,1,"168,760","162,760","6,000",3.6,"59,329",110.0
"Edgecombe County, NC",3,2,1,"21,498","20,015","1,483",6.9,"38,818",72.0
"Forsyth County, NC",2,2,1,"186,902","179,681","7,221",3.9,"50,112",92.9
"Franklin County, NC",1,1,1,"30,761","29,510","1,251",4.1,"57,710",107.0
"Gaston County, NC",1,1,1,"109,078","104,754","4,324",4.0,"52,798",97.9
"Gates County, NC",1,1,1,"5,318","5,103",215,4.0,"51,746",96.0
"Graham County, NC",9,12,0,"3,182","2,995",187,5.9,"39,502",73.3
"Granville County, NC",4,3,0,"29,971","28,941","1,030",3.4,"58,956",109.3
"Greene County, NC",8,7,0,"9,533","9,163",370,3.9,"43,591",80.8
"Guilford County, NC",2,2,1,"262,078","251,040","11,038",4.2,"52,166",96.7
"Halifax County, NC",4,5,0,"20,183","18,949","1,234",6.1,"36,760",68.2
"Harnett County, NC",4,3,0,"52,879","50,382","2,497",4.7,"51,225",95.0
"Haywood County, NC",2,2,1,"29,653","28,640","1,013",3.4,"47,183",87.5
"Henderson County, NC",2,2,1,"54,525","52,734","1,791",3.3,"54,012",100.2
"Hertford County, NC",6,4,0,"9,127","8,664",463,5.1,"38,216",70.9
"Hoke County, NC",2,2,1,"20,109","19,088","1,021",5.1,"47,892",88.8
"Hyde County, NC",9,10,0,"2,016","1,849",167,8.3,"40,653",75.4
"Iredell County, NC",1,1,1,"87,854","84,645","3,209",3.7,"60,044",111.4
"Jackson County, NC",6,5,0,"19,553","18,728",825,4.2,"44,502",82.5
"Johnston County, NC",1,1,1,"97,395","93,823","3,572",3.7,"60,296",111.8
"Jones County, NC",3,2,1,"4,382","4,196",186,4.2,"43,302",80.3
"Lee County, NC",4,5,0,"26,506","25,339","1,167",4.4,"48,984",90.8
"Lenoir County, NC",4,5,0,"27,871","26,768","1,103",4.0,"40,433",75.0
"Lincoln County, NC",1,1,1,"42,638","41,153","1,485",3.5,"62,963",116.8
"McDowell County, NC",6,5,0,"21,117","20,395",722,3.4,"43,972",81.5
"Macon County, NC",7,9,0,"15,356","14,748",608,4.0,"46,426",86.1
"Madison County, NC",2,2,1,"10,071","9,701",370,3.7,"44,693",82.9
"Martin County, NC",6,6,0,"9,288","8,822",466,5.0,"43,569",80.8
"Mecklenburg County, NC",1,1,1,"611,032","587,780","23,252",3.8,"64,509",119.6
"Mitchell County, NC",7,10,0,"6,027","5,755",272,4.5,"43,967",81.5
"Montgomery County, NC",6,6,0,"11,533","11,068",465,4.0,"47,757",88.6
"Moore County, NC",4,5,0,"41,079","39,495","1,584",3.9,"59,471",110.3
"Nash County, NC",3,2,1,"43,392","41,167","2,225",5.1,"50,122",93.0
"New Hanover County, NC",2,2,1,"121,248","116,583","4,665",3.8,"53,419",99.1
"Northampton County, NC",9,8,0,"7,634","7,243",391,5.1,"37,233",69.0
"Onslow County, NC",3,2,1,"64,334","61,202","3,132",4.9,"50,531",93.7
"Orange County, NC",2,2,1,"77,614","75,056","2,558",3.3,"71,920",133.4
"Pamlico County, NC",3,2,1,"5,324","5,102",222,4.2,"46,447",86.1
"Pasquotank County, NC",4,3,0,"17,019","16,201",818,4.8,"46,355",86.0
"Pender County, NC",2,2,1,"28,260","27,071","1,189",4.2,"54,900",101.8
"Perquimans County, NC",8,3,0,"5,024","4,780",244,4.9,"48,337",89.6
"Person County, NC",2,2,1,"18,158","17,398",760,4.2,"50,149",93.0
"Pitt County, NC",3,2,1,"89,552","85,686","3,866",4.3,"43,303",80.3
